n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1755,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,626.72,-399.0900000000001,1025.8100000000002,-0.062311607249238496,1.0,0.0,0,0.0,0.0,0.0,0.0,11,,17,1.0,False,,False,False,0.0,0.0,0.0
1856,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,660.1100000000001,-24.580000000000002,684.6900000000002,0.11215287494388006,0.007637752318603383,0.0,0,0.0,0.0,0.9923622476813966,0.75,5,,8,1.0,False,,False,False,0.0,0.0,0.0
1874,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,666.47,-218.38000000000005,884.8500000000001,0.057959540912752364,0.4883846569421934,0.0,0,0.0,0.0,0.5116153430578065,1.0,7,,12,1.0,False,,False,False,0.0,0.0,0.0
1901,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,677.77,-429.6100000000001,1107.38,0.0071946850554346275,0.9952178533475027,0.0,0,0.0,0.0,0.004782146652497344,0.25,7,,1,1.0,False,,False,False,0.0,0.0,0.0
1747,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,622.39,-402.4200000000001,1024.81,0.08584703627001743,0.9907407407407407,0.0,0,0.0,0.0,0.009259259259259259,1.0,1,,1,0.9994175888177053,False,,False,False,0.0,0.0,0.0
1906,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1558.0700000000002,-434.2500000000001,1992.3200000000002,-0.008852957157201498,1.0,0.24868835257082897,474,0.0,0.0,0.0,0.0,4,14,1,1.0,True,100,True,False,0.0,0.0,0.0
1839,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,658.3900000000001,-413.21000000000015,1071.6000000000004,-0.05470714265852079,0.9917987971569163,0.0,0,0.0,0.0,0.008201202843083653,0.25,11,,4,0.9994487320837927,False,,False,False,0.0,0.0,0.0
1884,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,672.58,-35.96000000000001,708.5400000000001,0.21979036904954524,0.03907922912205567,0.0,0,0.0,0.0,0.9609207708779444,1.0,2,,1,1.0,False,,False,False,0.0,0.0,0.0
1755,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1434.4900000000002,-402.12000000000006,1836.6100000000004,-0.012023032741473557,1.0,0.24843304843304842,436,0.0,0.0,0.0,0.0,3,12,3,1.0,True,100,True,False,0.0,0.0,0.0
1765,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1398.9500000000003,-393.4500000000001,1792.4000000000003,-0.03354098698177525,0.9634911580148318,0.23512747875354106,415,0.0,0.0,0.03650884198516828,0.5,3,12,3,0.9994086339444116,True,100,True,False,0.0,0.0,0.0
