n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1901,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,677.01,-335.43000000000006,1012.44,0.09919456528895423,0.7611702127659574,0.0,0,0.0,0.0,0.23882978723404255,1.0,4,,1,0.9993031358885017,False,,False,False,0.0,0.0,0.0
1943,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,688.5699999999999,-375.8800000000001,1064.45,-0.09560731697561381,0.8430962343096234,0.0,0,0.0,0.0,0.15690376569037656,0.6666666666666666,10,,6,0.9993808049535604,False,,False,False,0.0,0.0,0.0
1923,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,685.0699999999999,-436.3700000000001,1121.44,-0.13045204080206865,0.9973725696269049,0.0,0,0.0,0.0,0.002627430373095113,0.3333333333333333,10,,28,1.0,False,,False,False,0.0,0.0,0.0
1843,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,656.8000000000001,-378.1700000000001,1034.9700000000003,0.07062194914839454,0.8925438596491229,0.0,0,0.0,0.0,0.1074561403508772,0.75,7,,12,1.0,False,,False,False,0.0,0.0,0.0
1760,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,621.4099999999999,-21.6,643.0099999999999,0.12222850939758693,0.00463768115942029,0.0,0,0.0,0.0,0.9953623188405797,1.0,8,,8,0.9090909090909091,False,,False,False,0.0,0.0,0.0
1766,5,GMG Deployment Failure,gmg_deployment_failure,,17.63,-18.1,35.730000000000004,-0.001549354225146757,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,0.0,False,,False,False,0.0,0.45,0.0
1945,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,188.05999999999997,-121.87000000000002,309.93,-0.4908913920039461,1.0,0.0010282776349614395,2,0.0,0.0,0.0,0.0,10,1531,1278,1.0,True,1531,True,False,0.0,0.0,0.0
1742,5,GMG Deployment Failure,gmg_deployment_failure,,17.419999999999995,-17.5,34.919999999999995,-0.08729318750749421,0.0,0.0,0,0.0,0.0,0.0,0.0,5,,1,0.0,False,,False,False,0.0,0.45,0.0
1950,5,GMG Deployment Failure,gmg_deployment_failure,,19.38,-16.7,36.08,-0.002763045370902702,0.0,0.0,0,0.0,0.0,0.0,0.0,,,1,0.0,False,,False,False,0.0,0.45,0.0
1838,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,481.37,-200.42000000000007,681.7900000000001,-0.2933316006545399,0.6318972033257747,0.0,0,0.0,0.0,0.36810279667422524,0.3333333333333333,510,,1,1.0,False,,False,False,0.0,0.0,0.0
1905,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,392.76000000000005,-97.00000000000003,489.7600000000001,-0.16213911116116317,0.33239700374531833,0.0,0,0.0,0.0,0.6676029962546817,0.5,11,,888,1.0,False,,False,False,0.0,0.0,0.0
1819,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,188.86999999999995,-122.84000000000003,311.71,-0.5610506093189428,0.9979508196721312,0.0,0,0.0,0.0,0.0020491803278688526,0.25,34,,73,1.0,False,,False,False,0.0,0.0,0.0
1854,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,660.73,-420.0000000000001,1080.73,-0.13320731532251473,1.0,0.0,0,0.0,0.0,0.0,0.0,7,,27,1.0,False,,False,False,0.0,0.0,0.0
1935,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,519.1500000000001,-332.4000000000001,851.5500000000002,-0.5326737149657736,0.9978991596638656,0.0,0,0.0,0.0,0.0021008403361344537,0.3333333333333333,5,,49,1.0,False,,False,False,0.0,0.0,0.0
1749,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,239.05000000000004,-79.14,318.19000000000005,-0.3569149263724753,0.9929577464788732,0.03773584905660377,66,0.0,0.0,0.007042253521126761,0.5,6,17,8,1.0,True,100,True,False,0.0,0.0,0.0
1894,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1486.2500000000005,-413.44000000000005,1899.6900000000005,-0.02391122809163155,0.9966722129783694,0.23864836325237593,452,0.0,0.0,0.0033277870216306157,0.6666666666666666,5,19,1,1.0,True,100,True,False,0.0,0.0,0.0
1909,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,681.9300000000001,-434.2600000000001,1116.19,-0.13468806187190493,0.996832101372756,0.0,0,0.0,0.0,0.0031678986272439284,0.5,14,,19,0.9994706193753309,False,,False,False,0.0,0.0,0.0
1870,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,453.02,-290.9700000000001,743.99,-0.5692050071722563,0.9959709911361805,0.0,0,0.0005347593582887701,0.0,0.0040290088638195,0.6666666666666666,18,,27,1.0,False,,False,False,0.0,0.0,0.0
1794,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,89.03000000000002,-37.440000000000005,126.47000000000003,-0.25234318713413545,1.0,0.012263099219620958,22,0.0,0.0,0.0,0.0,3,18,1,1.0,True,100,True,False,0.0,0.0,0.0
1852,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,156.64999999999998,-92.79,249.44,-0.5255511462999559,0.8683544303797468,0.0,0,0.0,0.0,0.13164556962025317,0.5,13,,1,0.9970845481049563,False,,False,False,0.0,0.0,0.0
1812,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,235.11,-74.80000000000003,309.91,-0.307785569461319,1.0,0.0380794701986755,69,0.0,0.0,0.0,0.0,1,16,1,1.0,True,100,True,False,0.0,0.0,0.0
